name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,use0,use1,use2,use3,use4,Chemical Class,Therapeutic Class,Habit Forming
plagerine-a capsule,Clopirad A 75mg/75mg Capsule,Antiban Asp 75 mg/75 mg Capsule,Clopitex-A 75 Capsule,Stromix A 75 Capsule,Plaxia A 75 mg/75 mg Capsule,Abdominal pain,Bruise,Diarrhea,Gastrointestinal bleeding,Increased bleeding tendency,Nosebleeds,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of heart attack and stroke,,,,,,BLOOD RELATED,No
pregabel 75 capsule,Nova 75 Capsule,Prosovit 75 Capsule,Pregalyv 75mg Capsule,Pregiva 75 Capsule,Revlin 75 Capsule,Blurred vision,Difficulty in paying attention,Dizziness,Dryness in mouth,Edema (swelling),Sleepiness,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,Treatment of Epilepsy/Seizures,Treatment of Fibromyalgia,,,Cyclic GABA Analogues,NEURO CNS,No
plagerine tablet,StayHappi Clopidogrel 75mg Tablet,Clopikind Tablet,Platloc Tablet,Clopact 75 Tablet,Clopivas 75 Tablet,Bleeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of heart attack and stroke,,,,,Alpha amino acid esters,BLOOD RELATED,No
powergesic 100mg transdermal patch,,,,,,"Application site reactions (burning, irritation, itching and redness)",Edema (swelling),Nausea,Headache,Dizziness,Vomiting,Itching,Flatulence,Indigestion,Pain in extremities,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,Phenylacetic acid Derivative,PAIN ANALGESICS,No
piclin oral solution,Papancid-L Oral Solution Sugar Free,Piconet 5mg Oral Solution,Picoliss Oral Solution,Piconext Liquid Sugar Free,Picgo 5mg Oral Solution,Abdominal pain,Abdominal cramp,Abdominal discomfort,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Constipation,,,,,Diphenylmethane Derivative,GASTRO INTESTINAL,No
predace 4 tablet,Coelone 4mg Tablet,Pilsone 4mg Tablet,Premisol 4mg Tablet,Cortilog 4mg Tablet,Rednisol 4 Tablet,Thinning of skin,Increased risk of infection,Reduction in bone density,Weight gain,Mood changes,Upset stomach,Behavioral changes,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Rheumatic disorder,Treatment of Systemic lupus erythematosus (SLE),Treatment of Allergic conditions,Treatment of Eye disorders,Treatment of Skin disorders,Glucocorticoids,HORMONES,No
polycain oral gel jamaican strawberry,,,,,,Chalky taste,Constipation,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Acidity, Heartburn, Stomach ulcers,,,,GASTRO INTESTINAL,No
pregcert 200 sr tablet,Endogest 200 SR Tablet,Proshi 200mg Tablet SR,Macgest SR 200 Tablet,Prolutax 200mg Tablet SR,Strone SR 200 Tablet,Hot flushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hormone replacement therapy,Treatment of Female infertility,,,,Progesterone Derivative,GYNAECOLOGICAL,No
pansped 40 tablet,Pantoride 40 Tablet,Topp 40 Tablet,Panplus 40 Tablet,Pancare 40mg Tablet,Aciban 40 Tablet,Diarrhea,Flatulence,Headache,Nausea,Stomach pain,Vomiting,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heartburn,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,Sulfinylbenzimidazole Derivative,GASTRO INTESTINAL,No
patadin tablet,Olax 5mg Tablet,Olax Tablet,IF 2 Tablet,Allenil 5mg Tablet,Alovent 5mg Tablet,Sleepiness,Weakness,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Dibenzoxepine Derivative,RESPIRATORY,No
panum l capsule,Geripan L 75 mg/40 mg Capsule,Panace L 75mg/40mg Capsule,Damcid LS 75mg/40mg Capsule,Panetriz-LS Capsule,Pancruz L 75mg/40mg Capsule,Stomach pain,Vomiting,Diarrhea,Headache,Nausea,Flatulence,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),,,,,,GASTRO INTESTINAL,No
prograf 0.5mg capsule,Taclicept 0.5mg Capsule,Takfa 0.5 Capsule,Imunotac 0.5 Capsule,Olmis 0.5mg Capsule,Tacroren 0.5 Capsule,Diarrhea,Increased glucose level in blood,Increased thirst,Kidney damage,Liver damage,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of organ rejection in transplant patients,,,,,Macrolide Lactams,ANTI NEOPLASTICS,No
p2i tablet,Pantoride 40 Tablet,Topp 40 Tablet,Panplus 40 Tablet,Pancare 40mg Tablet,Aciban 40 Tablet,Diarrhea,Flatulence,Headache,Nausea,Stomach pain,Vomiting,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heartburn,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,Sulfinylbenzimidazole Derivative,GASTRO INTESTINAL,No
peg -sr 75 tablet,Nurogab 75 Tablet SR,Gablincad 75mg Tablet SR,Cuprega 75mg Tablet SR,Dpnp 75mg Tablet SR,Pgbest-SR 75 Tablet,Blurred vision,Difficulty in paying attention,Dizziness,Dryness in mouth,Edema (swelling),Sleepiness,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,Treatment of Epilepsy/Seizures,Treatment of Fibromyalgia,,,Cyclic GABA Analogues,NEURO CNS,No
pacroma cream,Picon Cream,Picon Cream,Elidel Cream,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Atopic dermatitis,,,,,Macrolide Lactams,DERMA,No
pioglit mf 15 tablet er,K-Pio-M Tablet ER,Piopar-MF 15 Tablet ER,Piopar-MF 15 Tablet ER,Mysensi M 15mg/500mg Tablet ER,Mopaday 15 Tablet ER,Headache,Dizziness,Hypoglycemia (low blood glucose level),Diarrhea,Nausea,Vomiting,Flatulence,Urinary tract infection,Upper respiratory tract infection,Edema (swelling),,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
piosys 30 tablet,Piowa 30mg Tablet,Lita 30mg Tablet,Peeline 30mg Tablet,Piorest 30mg Tablet,Pioglaz 30mg Tablet,Hypoglycemia (low blood glucose level),Edema (swelling),Upper respiratory tract infection,Bronchitis (inflammation of the airways),Anemia (low number of red blood cells),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Thiazolidinedione Derivative,ANTI DIABETIC,No
paroxee cr 25 tablet,Parona CR 25 Tablet,Pariwave-CR 25 Tablet,Psydec 25 Tablet PR,Panex-CR 25 Tablet,Paxan 25 Tablet PR,Nausea,Fatigue,Dryness in mouth,Loss of appetite,Increased sweating,Dizziness,Nervousness,Tremors,Low sexual desire,Insomnia (difficulty in sleeping),Confusion,Constipation,Erectile dysfunction,Delayed ejaculation,Decreased libido,,,,,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Anxiety disorder,,,Phenylpiperidine Derivative,NEURO CNS,No
pregabel-m capsule,ME-PR Capsule,Pregacip M Capsule,Gabamax 75mg Capsule,Mahagaba-M 75 Capsule,Pbren-M 75 Capsule,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,NEURO CNS,No
provanol 10 tablet,Betabloc 10mg Tablet,Peelar 10mg Tablet,Prop 10mg Tablet,Propal 10mg Tablet,Norten 10mg Tablet,Tiredness,Weakness,Raynaud's phenomenon,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Pheochromocytoma,Treatment of Hypertension (high blood pressure), Prevention of migraine,Treatment of Anxiety,Treatment of Arrhythmia,Naphthalenes derivatives,CARDIAC,No
pramipex 1 tablet,Parpex 1mg Tablet,Remipex 1mg Tablet,Movexol 1mg Tablet,Pramitrem 1mg Tablet,Pexiol 1 Tablet,Dizziness,Sleepiness,Nausea,Dryness in mouth,Fatigue,Hallucination,Constipation,Peripheral edema,,,,,,,,,,,,,,,,,,,,,,,,,, Parkinson's disease, Restless leg syndrome,,,,Benzothiazole Derivative,NEURO CNS,No
pinodin tablet,Nucell 75mg Tablet,Hizide-FM Tablet,,,,Nausea,Allergic reaction,Dizziness,Headache,Indigestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Varicose veins,,,,,Polyphenol derivatives,CARDIAC,No
prolox 5% topical solution,Tinfal Solution,Minoxy 5% Solution,Rootz-M5 Solution,MNX 5 Solution,Imxia 5 Solution,Itching,Chest pain,Headache,Hypertrichosis (excessive hair growth),Rash,Dermatitis,Hypersensitivity,Weight gain,Fluid retention,Tachycardia,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hair loss,,,,,Dialkylarylamines,DERMA,No
panthor dx syrup,Kufril-SF Syrup,Dexef Q Syrup,Coldnem Syrup,Depcof Plus Syrup,Riotuss Syrup,Nausea,Stomach pain,Diarrhea,Upset stomach,Vomiting,Loss of appetite,Dizziness,Headache,Insomnia (difficulty in sleeping),Rash,Hives,Itching,Sleepiness,,,,,,,,,,,,,,,,,,,,, Dry cough,,,,,,RESPIRATORY,No
pregeb od 75 tablet,Pregol 75mg Tablet SR,Nurogab 75 Tablet SR,Gablincad 75mg Tablet SR,Cuprega 75mg Tablet SR,Dpnp 75mg Tablet SR,Blurred vision,Difficulty in paying attention,Dizziness,Dryness in mouth,Edema (swelling),Sleepiness,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,Treatment of Epilepsy/Seizures,Treatment of Fibromyalgia,,,Cyclic GABA Analogues,NEURO CNS,No
pentate-d tablet,Pentoza D 10mg/20mg Tablet,Panplus D20 Tablet,Pantin RD 10mg/20mg Tablet,Pentaloc D 10mg/20mg Tablet,Pancare D 10mg/20mg Tablet,Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,,GASTRO INTESTINAL,No
pamoria cream,Amrosys Cream,Amrolstar Cream,Amrolstar Cream,Amrosys Cream,Amtris Cream,Blisters on skin,Nail disorder,Skin irritation,Skin rash,Erythema (skin redness),,,,,,,,,,,,,,,,,,,,,,,,,,,,, Fungal nail infections,,,,,Phenylpropanes derivatives,DERMA,No
polynase d eye ointment,Pychlor Dexa Eye Ointment,Ocupol D Eye Ointment,Deximon P Eye Ointment,Hydromycin-D Eye Ointment,Imix  Eye Ointment,Eye discomfort,Eye irritation,Burning sensation in eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial eye infections,,,,,,OPHTHAL,No
pilogo plus cream,H2piles Rectal Cream,Pilorute Cream,Hemolit Cream,Pileum Cream,Oxerute Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Piles,,,,,,CARDIAC,No
primiwal-e4 tablet sr,Estaraset Tablet SR,Cameron 4mg Tablet SR,,,,Headache,Nausea,Breast pain,Abdominal cramp,Bloating,Vaginal spotting,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,, Hormone replacement therapy,,,,,Estradiol Congeners,GYNAECOLOGICAL,No
prazopress 1 tablet,,,,,,Dizziness,Headache,Drowsiness,Weakness,Low energy,Palpitations,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Heart failure,,,,Piperazine Derivative,CARDIAC,No
pregeb m 150 capsule,Neugaba M 150 Capsule,Megabid 750 mcg/150 mg Capsule,Pregario-M 750mcg/150mg Capsule,Pregatek M 750mcg/150mg Capsule,Pregakon-ME 750mcg/150mg Capsule,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,NEURO CNS,No
panto-dsr capsule,Pendom-OD Capsule SR,Pentaloc DSR 30mg/40mg Capsule,PP Set DSR Capsule,Pantex-D SR Capsule,Paro-DSR Capsule,Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,,GASTRO INTESTINAL,No
primigyn 0.5mg gel,Medidin Gel,Dinost 0.5mg Gel,Cerviprime 0.5mg Gel,,,Flushing of skin,Diarrhea,Vomiting,Nausea,Fever,Uterine tachysystole,Uterine hyperstimulation ,,,,,,,,,,,,,,,,,,,,,,,,,,, Induction of labour,,,,,Prostaglandin Analog,GYNAECOLOGICAL,No
pancrehenz 25000 capsule,Cadipan 25K Capsule,Panzymax 25000 Capsule,Encremin Capsule,Creafine 25000 Capsule,Digecran 25000 Capsule,Stomach pain,Bloating,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pancreatic enzyme deficiency,,,,,Peptides,GASTRO INTESTINAL,No
pruf-p tablet,Sneptin Plus 100mg/325mg Tablet,Etiprin P Tablet,Lupart P 100mg/325mg Tablet,Flutense P 100mg/325mg Tablet,Molfit FL Tablet,Nausea,Vomiting,Constipation,Dryness in mouth,Dizziness,Headache,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,PAIN ANALGESICS,No
pansalve-dsr capsule,Pantapar-DSR Capsule,Pendom-OD Capsule SR,Pentaloc DSR 30mg/40mg Capsule,PP Set DSR Capsule,Pantex-D SR Capsule,Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,,GASTRO INTESTINAL,No
ph-perfect capsule,Rabesec LS Capsule,Rubizol-L Capsule,Rabitril LS 75mg/20mg Capsule,Rabalkem LS 75mg/20mg Capsule,Rabipen Plus Capsule,Nausea,Stomach pain,Diarrhea,Flatulence,Constipation,Headache,Dizziness,Weakness,Sleepiness,Flu-like symptoms,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Intestinal ulcers,Treatment of Irritable bowel syndrome,,,,GASTRO INTESTINAL,No
pyricool 650mg tablet,Alice 650mg Tablet,Algina 650 Tablet,PUC 650 Tablet,Paracip 650 Tablet,Dolo 650 Tablet,Stomach pain,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,Treatment of Fever,,,,P-Aminophenol Derivative,PAIN ANALGESICS,No
pinom 10 tablet,Ortan 10mg Tablet,Olmistal 10mg Tablet,Olmepath 10 Tablet,Olmenorm 10mg Tablet,Olmean 10mg Tablet,Cough,Diarrhea,Dizziness,Flu-like symptoms,Headache,Indigestion,Nausea,Runny nose,Sore throat,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Heart failure, Prevention of heart attack and stroke,,,Synthetic imidazole derivative,CARDIAC,No
panthol-d eye gel,Dpnol Ophthalmic Gel,Softvisc Gel,,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Eye injury,,,,,Pantothenic Acid Derivative,OPHTHAL,No
pregabid forte 75 capsule,Naltida PG Capsule,Troynuron PG 75mg/750mcg/100mg Capsule,Nova Plus 75 Capsule,Prelica Plus Capsule,Onerve -SR Capsule,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Neuropathic pain,,,,,,NEURO CNS,No
pregabid od 100 tablet sr,Pregacon 100mg Tablet SR,,,,,Blurred vision,Difficulty in paying attention,Dizziness,Dryness in mouth,Edema (swelling),Sleepiness,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,Treatment of Epilepsy/Seizures,Treatment of Fibromyalgia,,,Cyclic GABA Analogues,NEURO CNS,No
pantafol-sl capsule sr,Volapride-Plus Capsule SR,Pantin L Capsule SR,Pansec-L Capsule SR,Preamp-L Capsule SR,Pantocaf L 75mg/40mg Capsule SR,Stomach pain,Vomiting,Diarrhea,Headache,Nausea,Flatulence,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),,,,,,GASTRO INTESTINAL,No
piza-d tablet,Pantafol D Tablet,Panray D Tablet,P-Len-D Tablet,Joypan D  10mg/40mg Tablet,Gopan D 10 mg/40 mg Tablet,Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,,GASTRO INTESTINAL,No
pentaglobin injection,,,,,,Back pain,Chills,"Flushing (sense of warmth in the face, ears, neck and trunk)",Dizziness,Headache,Nausea,Decreased blood pressure,Muscle pain,Slow heart rate,Wheezing,,,,,,,,,,,,,,,,,,,,,,,, Immunoglobulins deficiency,,,,,Vaccines,VACCINES,No
panzynorm-hs tablet,,,,,,Stomach pain,Bloating,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pancreatic enzyme deficiency,,,,,Peptides,GASTRO INTESTINAL,No
pregastar m - od 75 tablet sr,Mahagaba-M OD Tablet SR,Nervijen-P SR Tablet,Axinerve-P Tablet SR,Gabasafe Plus  SR 75 Tablet,Revlin M Tablet SR,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,NEURO CNS,No
pantodac iv injection,Panfirst 40mg Injection,Troypanto 40mg Injection,Topraz Injection,Zepoxin 40mg Injection,P-Ppi Injection,Diarrhea,Flatulence,Headache,Joint pain,Nausea,Stomach pain,Vomiting,Dizziness,Thrombophlebitis,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heartburn,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,Sulfinylbenzimidazole Derivative,GASTRO INTESTINAL,No
panum 40 tablet,Pantoride 40 Tablet,Topp 40 Tablet,Panplus 40 Tablet,Pancare 40mg Tablet,Aciban 40 Tablet,Diarrhea,Flatulence,Headache,Nausea,Stomach pain,Vomiting,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heartburn,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,Sulfinylbenzimidazole Derivative,GASTRO INTESTINAL,No
pantin 40mg injection,Panfirst 40mg Injection,Troypanto 40mg Injection,Topraz Injection,Zepoxin 40mg Injection,P-Ppi Injection,Diarrhea,Flatulence,Headache,Joint pain,Nausea,Stomach pain,Vomiting,Dizziness,Thrombophlebitis,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heartburn,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,Sulfinylbenzimidazole Derivative,GASTRO INTESTINAL,No
pantodac l capsule sr,Volapride-Plus Capsule SR,Pantafol-SL Capsule SR,Pantin L Capsule SR,Pansec-L Capsule SR,Pantocaf L 75mg/40mg Capsule SR,Stomach pain,Vomiting,Diarrhea,Headache,Nausea,Flatulence,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),,,,,,GASTRO INTESTINAL,No
pileum suppository,Anomex Suppository,Corect Suppository,Jamopenz-H Suppository,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anal fissure,,,,,,UROLOGY,No
pramirol sr 0.26 tablet,,,,,,Dizziness,Sleepiness,Nausea,Dryness in mouth,Fatigue,Hallucination,Constipation,Peripheral edema,,,,,,,,,,,,,,,,,,,,,,,,,, Parkinson's disease, Restless leg syndrome,,,,Benzothiazole Derivative,NEURO CNS,No
penidure la 6 injection,Pencom 600000IU Injection,Benzathine 600000IU Injection,,,,Rash,Allergic reaction,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,Treatment of Syphilis,Prevention of Rheumatic fever,,,Penicillins,ANTI INFECTIVES,No
prandial m 0.3 tablet,Dailyvog M 500mg/0.3mg Tablet,Vogliplay M 500mg/0.3mg Tablet,Vogloyd M 500mg/0.3mg Tablet,Welvog MF 500mg/0.3mg Tablet,Vogligress-M 0.3mg Tablet,Flatulence,Diarrhea,Bloating,Abdominal pain,Vomiting,Decreased appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
prutrip 25mg tablet,Hyzox 25 Tablet,Hizet 25mg Tablet,Hydil 25mg Tablet,Zyzine 25mg Tablet,Hizone 25mg Tablet,Sedation,Nausea,Vomiting,Upset stomach,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,,,,Piperazine Derivative,RESPIRATORY,No
penvir 250 tablet,Famir 250mg Tablet,Simavir 250mg Tablet,Famnova 250mg Tablet,Famguard 250mg Tablet,Famcimac 250 Tablet,Headache,Dizziness,Vomiting,Nausea,Fatigue,Fever,Stomach pain,Diarrhea,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,, Herpes labialis, Herpes Simplex Virus Infections, Shingles, Genital herpes infection,,Nucleoside analog,ANTI INFECTIVES,No
pregathree tablet,Pregabanyl NTM Tablet,Md Calm 75mg/10mg/1500mcg Tablet,Axinerve-NP Tablet,Torner NT 75mg/10mg/1500mcg Tablet,Pruxa NM 75mg/10mg/1500mcg Tablet,Constipation,Weight gain,Orthostatic hypotension (sudden lowering of blood pressure on standing),Increased heart rate,Dizziness,Sleepiness,Tiredness,Blurred vision,Dryness in mouth,Difficulty in urination,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,NEURO CNS,No
paknet-c gel,Clinvan Gel,Trioclin Gel,Clindi AA Gel,Glintra Gel,D Acne Plus Gel,Skin peeling,Erythema (skin redness),Dry skin,Burning sensation at the site of application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,,DERMA,No
picon cream,Pacroma Cream,Pacroma Cream,Elidel Cream,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Atopic dermatitis,,,,,Macrolide Lactams,DERMA,No
primiwal e2 tablet,Estova 2 Tablet,Esurance Tablet,Enrifol 2mg Tablet,Evadiol Tablet,MyEstra 2 Tablet,Headache,Nausea,Breast pain,Abdominal cramp,Bloating,Vaginal spotting,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,, Hormone replacement therapy,,,,,Estradiol Congeners,GYNAECOLOGICAL,No
panderm + dusting powder,Canazole Dusting Powder,Clotrex Dusting Powder 75gm for Antifungal Infections,Clotrex Dusting Powder,AF -C Dusting Powder,Klo-Aid Dusting Powder,Blisters,Skin peeling,Swelling,Application site irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal skin infections,,,,,Azole derivatives {Imidazoles},DERMA,No
prelin m 75 capsule,ME-PR Capsule,Pregacip M Capsule,Gabamax 75mg Capsule,Mahagaba-M 75 Capsule,Pbren-M 75 Capsule,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,NEURO CNS,No
pexep 10 tablet,Prx 10mg Tablet,Raxit 10mg Tablet,Madotine 10mg Tablet,Parotin 10mg Tablet,Pxt 10mg Tablet,Nausea,Fatigue,Dryness in mouth,Loss of appetite,Increased sweating,Dizziness,Nervousness,Tremors,Low sexual desire,Insomnia (difficulty in sleeping),Confusion,Constipation,Erectile dysfunction,Delayed ejaculation,Decreased libido,,,,,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Anxiety disorder,,,Phenylpiperidine Derivative,NEURO CNS,No
potcl 1.5gm injection,Kesol 1.5gm Injection,Troykcl 1.5gm Injection,,,,"Injection site reactions (pain, swelling, redness)",Diarrhea,Nausea,Vomiting,Flatulence,Abdominal pain,Fatigue,Febrile response,,,,,,,,,,,,,,,,,,,,,,,,,, Potassium deficiency,,,,,Alkali Metal Chloride,VITAMINS MINERALS NUTRIENTS,No
ppg met 0.2 tablet sr,Vogliboz M 500mg/0.2mg Tablet SR,Vozuca-M Activ Tablet SR,Vogs-M 0.2 Tablet SR,Starvog M 0.2 Tablet SR,Megavog MF 0.2/500 Tablet SR,Flatulence,Diarrhea,Bloating,Abdominal pain,Vomiting,Decreased appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
preganza nt tablet,Prenura NT Tablet,Neurica NT Tablet,Pregalift NT Tablet,Nervite Tablet,Nervilax NT 75mg/10mg Tablet,Constipation,Difficulty in urination,Weight gain,Sleepiness,Dizziness,Tiredness,Blurred vision,Dryness in mouth,Increased heart rate,Orthostatic hypotension (sudden lowering of blood pressure on standing),Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,NEURO CNS,No
pregalin x 75 capsule,ME-PR Capsule,Pregacip M Capsule,Gabamax 75mg Capsule,Mahagaba-M 75 Capsule,Pbren-M 75 Capsule,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,NEURO CNS,No
penclav 625 tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Advent 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,ANTI INFECTIVES,No
prolox extra strength 10% topical solution,Minoxy 10 Solution,Brintop 10% Solution,Rootz-M10 Solution,Imxia 10% Solution,MNX-Forte Solution,Itching,Chest pain,Headache,Hypertrichosis (excessive hair growth),Rash,Dermatitis,Hypersensitivity,Weight gain,Fluid retention,Tachycardia,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hair loss,,,,,Dialkylarylamines,DERMA,No
pionorm 15 tablet,Piosys 15 Tablet,Pioshine 15mg Tablet,Piotaz 15mg Tablet,Pioaid 15mg Tablet,Pzone 15mg Tablet,Hypoglycemia (low blood glucose level),Edema (swelling),Upper respiratory tract infection,Bronchitis (inflammation of the airways),Anemia (low number of red blood cells),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Thiazolidinedione Derivative,ANTI DIABETIC,No
