medicamento_en,medicamento_principal,sustituto1_en,sustituto2_en,sustituto3_en,sustituto4_en,sustituto5_en,sustituto1_es,sustituto2_es,sustituto3_es,sustituto4_es,sustituto5_es
montair 5mg chewable tablet strawberry,montair 5mg masticable tableta fresa,telekast 5 chewable tablet,montek 5 chewable tablet,glemont ct 5 tablet,telekast 5mg chewable tablet,singulair 5mg chewable tablet,telekast 5 tableta masticable,montek 5 tableta masticable,glemont ct 5 tableta,telekast 5mg tableta masticable,singulair 5mg tableta masticable
morr max 5% serum,morr max 5% suero,procahair hair regrowth serum,hairizer hair growth treatment,,,,suero de regreso del cabello de procahair,tratamiento del crecimiento del cabello piloto,,,
minolast fx 10mg/120mg tablet,minolast fx 10mg/120mg tableta,emlukast-fx tablet,lcfex-mont tablet,fixar 10mg/120mg tablet,histakind-m tablet,histafree-m tablet,tableta emlukast-fx,tableta lcfex-mont,tableta fixar 10mg/120mg,tableta histakind-m,tableta histafree-m
maxiliv injection,inyeccion maxiliv,glutaup 600mg injection,gluthio injection,glutaxim 600mg injection,glutone 600mg injection,thiotres injection,inyeccion de 600 mg de glutaup,inyeccion de gluthio,inyeccion de 600 mg de glutaxim,glutono 600 mg de inyeccion,inyeccion de thiotres
macpred 4 tablet,macpred 4 tableta,predace 4 tablet,coelone 4mg tablet,pilsone 4mg tablet,premisol 4mg tablet,doralon 4mg tablet,predace 4 tableta,tableta coelone 4mg,tableta pilsone 4mg,tableta de 4 mg de premisol,tableta doralon 4mg
metoz 2.5 tablet,metoz 2.5 tableta,metadure 2.5mg tablet,mela 2.5mg tablet,metolaz 2.5mg tablet,zalat 2.5mg tablet,metoral 2.5 mg tablet,metadure 2.5mg tableta,tableta mela 2.5mg,metolaz 2.5mg tableta,tableta zalat 2.5mg,metoral 2.5 mg de tableta
momate lotion,locion de momentos,metarub lotion,cutizone lotion,nidsone lotion,metos 0.1% lotion,topsoft lotion,locion metarub,locion cortada,locion nidsone,metos 0.1% de locion,locion topsoft
meftal-spas drops,gotas meftal-spas,escol suspension,spasdic 10mg/40mg suspension,colinol suspension,decolic 10 mg/40 mg suspension,colip suspension,suspension de escol,spasdic 10mg/40 mg de suspension,suspension de colinol,decolico 10 mg/40 mg de suspension,suspension colipas
megaclox capsule,capsula de megaclox,baciclox plus capsule,dynacil plus 250mg/250mg capsule,cilclox 250mg/250mg capsule,mivon 250mg/250mg capsule,aroclox 250mg/250mg capsule,capsula baciclox plus,dynacil mas 250 mg/250 mg de capsula,cilclox 250mg/250mg capsula,mivon 250mg/250mg capsula,capsula de 250mg/250mg
moxclav ds powder for oral suspension,polvo moxclav ds para suspension oral,flemiclav forte dry syrup,foliclav ds 457 dry syrup,mox cv ds 457mg powder for oral suspension,nikomox ds dry syrup,clymo forte powder for oral suspension,jarabe seco de flemiclav forte,folico folico ds 457 jarabe seco,mox cv ds 457mg polvo para suspension oral,jarabe seco de nikomox ds,clymo forte en polvo para suspension oral
maxtra tablet,tableta maxtra,diominic dc tablet,entimin 4mg/10mg tablet,tritus plus  tablet,vercold tablet,syneprid 4mg/10mg tablet,tableta diominica dc,entimin 4mg/10mg tableta,tritus plus tableta,tableta vercold,syneprid 4mg/10mg tableta
migrabeta-tr 20 tablet sr,migabeta-tr 20 tablet sr,bocker 20mg tablet sr,toxi 20mg tablet sr,perilol la 20mg tablet sr,ropnol 20mg tablet sr,vasbor 20mg tablet sr,bocker 20mg tableta sr,toxi 20mg tableta sr,perilol la 20mg tableta sr,ropnol 20mg tableta sr,vasbor 20mg tableta sr
mx 2 solution,solucion mx 2,maxihair 2% solution,pylodil 2 solution,minoxy 2 solution,hairjoy m 2% topical solution,new hair 4u 2% solution,solucion de 2% de maxihair,solucion de pylodil 2,solucion de minoxi 2,peinado m 2% solucion topica,nuevo cabello 4u 2% de solucion
mega freeflex joint health tablet,mega freeflex junk health tablet,rejoint new tablet,flex-guard tablet,,,,vuelva a apoyar la nueva tableta,tableta flexible,,,
muout oral solution,solucion oral muout,,,,,,,,,,
m-solvin syrup lime,m-solvin jargum lime,,,,,,,,,,
mirago s 50 combikit,mirago s 50 combikit,msn mirabig-s 50 combikit,megatas plus 50 combikit,bladmir-s 50 combikit,,,msn mirabig-s 50 combikit,megatas mas 50 combikit,bladmir-s 50 combikit,,
maxiflo 250 rotacaps,maxiflo 250 rotacaps,airwin f2 250 capsule,flutidin f 6mcg/250mcg divicap,pulmofor f 250 axacap,formicort-ft capsule,fluticort f 250 capsule,capsula airwin f2 250,flutidina f 6mcg/250mcg divicap,pulmofor f 250 axacap,capsula de formicort,fluticort f 250 capsula
myosone tablet,tableta de miosona,skelact 50 mg tablet,mysone 50mg tablet,enzoril 50mg tablet,zanperison 50mg tablet,perimine 50mg tablet,skelact 50 mg tableta,mysone 50mg tableta,enzoril 50mg tableta,zanperison 50 mg de tableta,tableta perimina 50 mg
metrogyl-m ointment,pomada metrogil-m,,,,,,,,,,
mp 4mg tablet,mp 4mg tableta,predace 4 tablet,coelone 4mg tablet,pilsone 4mg tablet,premisol 4mg tablet,doralon 4mg tablet,predace 4 tableta,tableta coelone 4mg,tableta pilsone 4mg,tableta de 4 mg de premisol,tableta doralon 4mg
macpee tablet,tableta macpee,urotas 25mg tablet,bvoid 25mg tablet,bethanax 25mg tablet,mictuease 25mg tablet,bethanevac 25mg tablet,tableta de 25mg de urotas,tableta bvoid 25mg,tableta bethanax 25mg,mictueent 25 mg de tableta,tableta bethanevac 25mg
montair plus tablet,montair plus tableta,montey b 10mg/10mg tablet,broncocet-forte nf tablet,bmont 10mg/10mg tablet,bammon 10 mg/10 mg tablet,montus bl 10 mg/10 mg tablet,montey b 10mg/10mg tableta,tableta broncocet-forte nf,bmont 10 mg/10mg tableta,bammon 10 mg/10 mg de tableta,montus bl 10 mg/10 mg tableta
mesacol suppository,supositorio de mesacol,meslataj suppository,,,,,suppositorio de meslataj,,,,
macpod 50 oral suspension,macpod 50 suspension oral,cedox dry syrup,cefomed 50mg oral suspension,doxtil dry syrup,snudicef 50 dry syrup,solodoxim dry syrup,jarabe seco de cedox,suspension oral de 50 mg cefomed,jarabe seco de doxtil,snudicef 50 jarabe seco,jarabe seco solodoxim
metolar xr 12.5 capsule,capsula metolar xr 12.5,,,,,,,,,,
motinorm drops,gotas de tormenta de motin,domvin oral drops,domifit 10mg oral drops,domways 10mg oral drops,,,domvin oral cae,domifit 10mg gotas orales,domways 10 mg de gotas orales,,
methimez 10 tablet,methimez 10 tableta,methimercazole 10 tablet,,,,,metimercazol 10 tableta,,,,
mx 10 topical solution,solucion topica mx 10,minoxy 10 solution,brintop 10% solution,rootz-m10 solution,imxia 10% solution,mnx-forte solution,solucion de minoxi 10,solucion brintop 10%,solucion rootz-m10,solucion imxia al 10%,solucion mnx-forte
monadine tablet,tableta monadina,emlukast-fx tablet,lcfex-mont tablet,fixar 10mg/120mg tablet,histakind-m tablet,histafree-m tablet,tableta emlukast-fx,tableta lcfex-mont,tableta fixar 10mg/120mg,tableta histakind-m,tableta histafree-m
mefkind-p suspension,suspension mefkind-p,mefalth 100mg/5ml suspension,trumef 100mg/5ml suspension,mefilong-p suspension,rxmef 100mg/5ml suspension,mefimid 100mg suspension,mefalth 100mg/5 ml de suspension,tumef 100mg/5 ml de suspension,suspension mefilong-p,rxmef 100mg/5 ml de suspension,mefimid 100mg suspension
met xl am 50/5 tablet,mecho xl am 50/5 tableta,metoder xl-am tablet pr,gudpres-am 50 tablet pr,amlodac m tablet pr,amlopin-m tablet pr,amlovas xm  5/50 tablet pr,metoder xl-am tableta pr,gudpres-am 50 tableta pr,amlodac m tableta pr,tableta amlopin-m pr,amlovas xm 5/50 tableta pr
milflodex bkc free eye drop,milflodex bkc free eye drop,moxiblu-d eye drop,centaflox dx eye drop,dexcin-m eye drop,moxitak d eye drop,occucom eye drop,moxiblu-d ojo gota,centaflox dx eye drop,dexcin-m gota de ojos,moxitak d eye drop,occucom ojo caida
minoz-bpo gel,gel minoz-bpo,pernex-plus gel,adapure gel,proxaid gel,abzit gel,acrobenz a gel,gel de pernex-plus,gel de adaptacion,gel de proxid,gel abzit,acrobenz a gel
mycept-s 360 tablet,tableta mycept-s 360,my 360 tablet,mmf -s tablet,mycosan s 360mg tablet,convotos s 360mg tablet,biomyf-s 360 tablet,mi tableta 360,mmf -s tableta,mycosan s 360mg tableta,convotos s 360mg tableta,tableta biomyf-s 360
macfast 500 tablet,macfast 500 tableta,calpol 500mg tablet,dolo 500 tablet,t-98 tablet,pacimol 500 tablet,parazex 500mg tablet,tableta calpol 500mg,tableta dolo 500,t-98 tableta,pacimol 500 tableta,tableta de 500 mg
moxikind-cv drops,moxikind-cv gotas,mega-cv drops,clavucillin nano drop,moxclav paediatric drops,bactoclav drops,clavam paediatric oral suspension,mega-cv gotas,clavucillin nano gota,gotas pediatricas moxclavas,gotas bactoclavas,suspension oral pediatrica de clavam
myotop-dsr tablet,tableta myotop-dsr,,,,,,,,,,
meftal-spas injection,inyeccion de meftal-spas,centwin 10mg injection,coliza 10mg injection,spasmo proxyvon injection,colicspam 10mg injection,spasypen 10mg injection,inyeccion de centwin 10mg,inyeccion de 10 mg de coliza,inyeccion de proxyvon de spasmo,inyeccion de 10 mg de colicspam,inyeccion de 10 mg de spasypen
momate s ointment,momate s unguento,hi salic ointment,prosalic ointment,zesoris ms ointment,saltopic-m ointment,molev s ointment,hola unguento salico,unguento prosalico,zesoris ms ointment,pomada saltopica-m,molev s unguento
moxigram lx eye drop,moxigram lx gota de ojos,lotesol-m eye drop,mostika-lp eye drop,moxicule-lp eye drop,kitmox-ld  opthalmic suspension,moxitak lp eye drop,lotesol-m eye drop,mostika-lp gota de ojos,moxicule-lp gota de ojos,suspension uptalmica kitmox-ld,moxitak lp eye drop
megesta 160 tablet,megesta 160 tableta,cravihenz tablet,sargest 160mg tablet,megacet 160mg tablet,megetra 160mg tablet,megeetron 160mg tablet,tableta cravihenz,tableta sargest de 160 mg,megacet 160 mg de tableta,megetra 160mg tablet,megeetron 160mg tableta
maxtra gargle,gargara maxtra,garbenz  mouth wash honey,tantum oral rinse,coolora mouth wash,oralixir mouth wash,b mine mouth wash,garbenz bouth lave honey,enjuague oral tantum,lavado bucal de coolora,bucal de oralixir,b my bouth lave
myface gel,gel myface,clinsol gel,acnetoin gel,clintok n gel,acnesol-nc gel,clindwin gel,gel de clinsol,gel,clintok n gel,gel de acnesol-nc,gel de clindwin
mintop yuva solution,solucion mintop yuva,tinfal solution,minoxy 5% solution,rootz-m5 solution,mnx 5 solution,imxia 5 solution,solucion de tinfal,solucion de minoxi 5%,solucion rootz-m5,solucion mnx 5,solucion imxia 5
mildfil tablet,tableta mildfil,tafil tablet,ttab 5mg tablet,tadablis 5mg tablet,fulflo tablet,xtafil tablet,tableta tafil,ttab 5mg tableta,tadablis 5mg tableta,tableta fulflo,tableta xtafil
melapik  -hq cream,melapik -hq cream,zestoquine forte cream,kolite forte cream,reetor cream,hypig cream,sure glow cream,crema de zestocrita forte,crema de kolite forte,crema de reetor,crema hipig,crema de brillo seguro
morr 10% solution,solucion morr al 10%,trichoton m solution,inoxi 10% solution,grewit 10% solution,,,solucion de trichoton m,solucion inoxi al 10%,solucion de cultivo al 10%,,
macfast 650 tablet,tableta macfast 650,alice 650mg tablet,flumol 650mg tablet,p mol 650mg tablet,extramol 650mg tablet,paracip 650 tablet,alice 650mg tableta,tableta flumol 650mg,p mol 650mg tableta,extramol 650mg tableta,paracip 650 tableta
mpx-cv 625 tablet,mpx-cv 625 tableta,clavorid 500mg/125mg tablet,penciclav 500 mg/125 mg tablet,themiclav 500mg/125mg tablet,moxikind-cv 625 tablet,moxiforce-cv 625 tablet,clavod 500mg/125mg tableta,penciclav 500 mg/125 mg de tableta,tableta de 500 mg/125mg,moxikind-cv 625 tableta,moxiforce-cv 625 tableta
moxinow tablet sr,moxinow tableta sr,tabocef m 400mg/400mg tablet sr,milixim-m 400mg/400mg tablet sr,fimial-mx tablet sr,aelxim-m 400mg/400mg tablet sr,,tabocef m 400mg/400mg tablet sr,milixim-m 400mg/400mg tablet sr,tableta fimial-mx sr,aelix-m 400mg/400 mg de tableta sr,
merocrit 1gm injection,inyeccion de 1gm de merocritas,meromac 1gm injection,ropwel 1gm powder for injection,merotrol 1gm injection,merofro 1gm injection,nepim 1gm injection,inyeccion de meromac 1gm,ropwel 1gm en polvo para inyeccion,inyeccion de merotrol 1gm,inyeccion de merofro 1gm,inyeccion nepim 1gm
monocef 2gm injection,inyeccion de 2gm de monocefef,cbzone 2gm injection,oframax 2gm injection,a cef 2gm injection,cefbull 2gm injection,rixone 2gm injection,inyeccion de 2gm de cbzone,inyeccion de 2gm de ramax,una inyeccion cef 2gm,inyeccion de 2gm de cefbull,inyeccion de 2gm de rixone
mucaine gel orange,mucaine gel naranja,maglicain oral gel,azomag-o oral gel sugar free,alzym oral gel sugar free,,,gel oral de maglicain,azomag-o gel oral azucar sin azucar,alzym gel oral azucar sin azucar,,
melbild solution,solucion melbild,glendep solution,,,,,solucion de glendep,,,,
macprox dp 250 tablet,macprox dp 250 tableta,minado tablet,domstal np 250mg/10mg tablet,comig 250 tablet,naprolet d 250mg/10mg tablet,napnet d 250mg/10mg tablet,tableta de minado,domstal np 250mg/10mg tableta,comig 250 tableta,naprolet d 250mg/10mg tableta,napnet d 250mg/10mg tableta
mext 7.5 f combipack,mext 7.5 f combipack,truxofol 7.5 mg/1 mg tablet,,,,,truxofol 7.5 mg/1 mg tableta,,,,
mycoderm-nm cream,crema de micodermo-nm,afderm-mn + cream,3 mix cream,bactimax cream,bactimax cream,ornoderm rf cream,afderm-mn + crema,3 crema de mezcla,crema bactimax,crema bactimax,crema de rf ornoderm rf
montaz 500mg injection,inyeccion de 500 mg de montaz,zifi xp 500 mg/62.5 mg injection,tritaz 500mg/62.5mg injection,zenoxim xp 500 mg/62.5 mg injection,tazocef 500mg/62.5mg injection,cesafe tz 500 mg/62.5 mg injection,inyeccion zifi xp 500 mg/62.5 mg,inyeccion de 500 mg/62.5mg,inyeccion zenoxim xp 500 mg/62.5 mg,tazocef 500mg/62.5mg inyeccion,inyeccion cesafe tz 500 mg/62.5 mg
maxtra p  ds syrup,maxtra p ds jarabe,dintiz syrup,zitocold syrup,nasycold plus syrup,zelfast-d syrup,ace plus syrup,jarabe dintiz,jarabe de zitocold,nasycold mas jarabe,jarabe zelfast-d,ace mas jarabe
mox kid 250mg tablet,mox kid 250mg tableta,hexamox 250mg tablet,z mox kid 250mg tablet,jetmox 250mg tablet,taurmox 250mg tablet,septicin 250mg tablet,hexamox 250mg tableta,z mox kid 250mg tableta,tableta jetmox 250mg,taurmox 250mg tableta,septicin 250 mg de tableta
match 150mg injection,inyeccion de 150 mg de 150 mg,falpar 150mg injection,artisun 150mg injection,ecother 150mg injection,endomal 150mg injection,rapither ab 150mg injection,falpar 150 mg de inyeccion,inyeccion artesan de 150 mg,inyeccion de 150 mg de 150 mg,inyeccion endomal de 150 mg,inyeccion ab 150 mg
mexohar 150mg capsule,capsula de 150 mg de mexohar,jollimex 150 capsule,welhart 150mg capsule,,,,capsula jollimex 150,capsula de 150 mg de welhart,,,
mext 7.5 tablet,mext 7.5 tableta,trexfly 7.5mg tablet,psoriax 7.5 tablet,rhutrax 7.5mg tablet,nidtrex 7.5mg tablet,methest 7.5mg tablet,trexfly 7.5mg tableta,psoriax 7.5 tableta,rhutrax 7.5mg tableta,nidtrex 7.5mg tableta,tableta de 7.5 mg de methest
montaz 250mg injection,inyeccion de 250 mg de montaz,zylocef t 250 mg/31.25 mg injection,monotax xp 250mg/31.25mg injection,traxol t 250 mg/31.25 mg injection,tazocef 250 mg/31.25 mg injection,zifi xp 250 mg/31.25 mg injection,zylocef t 250 mg/31.25 mg inyeccion,inyeccion de 250 mg de monotax/31.25mg,traxol t 250 mg/31.25 mg inyeccion,tazocef 250 mg/31.25 mg inyeccion,inyeccion zifi xp 250 mg/31.25 mg
m-solvin tablet,tableta m-sollvin,clarry am 30mg/100mg/2.5mg tablet,refacold tablet,mucosolvin 30mg/100mg/2.5mg tablet,xputum tablet,broncho tussin xp tablet,clarry am 30mg/100mg/2.5mg tableta,tableta de reenvio,mucosolvin 30mg/100mg/2.5mg tableta,tableta xputum,tableta broncho tussin xp
macsart h tablet,macsart h tableta,xstan-h tablet,telvas h 40/12.5 tablet,telmikind-h tablet,telzox-h 40mg/12.5mg tablet,telmisat h tablet,tableta xstan-h,telvas h 40/12.5 tableta,telmikind-h tableta,telzox-h 40mg/12.5mg tableta,telmisat h tableta
mirabig 25mg tablet er,mirabig 25mg tableta er,mirajet 25mg tablet er,miratas 25 tablet er,blador 25mg tablet er,mirago 25 tablet er,miranix tablet er,mirajet 25mg tableta er,miratas 25 tableta er,blador 25mg tableta er,mirago 25 tableta er,miranix tableta er
monocef-o cv dry syrup,monocef-o cv jarabe seco,swich cv 100 dry syrup,swich cv 100 dry syrup pineapple,,,,swich cv 100 jarabe seco,swich cv 100 pina de jarabe seco,,,
momesone cream,crema de momesone,mfsone cream,momtent cream,ezimet cream,moniter cream,momate-xl cream,crema de mfson,crema de mamas,crema ezimet,crema monitre,crema de mamates-xl
mucotab tablet,tableta mucotab,ovanac  tablet,ovanac-plus tablet,acetynet 600 tablet,mucomeg 600mg tablet,acestine 600 tablet,tableta ovanac,tableta ovanac-plus,acetynet 600 tableta,mucomeg 600mg tableta,acestine 600 tableta
myoset capsule sr,capsula de mioset sr,eprica 150mg capsule sr,flexiron 150mg capsule sr,epren sr capsule,epriton sr capsule,eprimat sr capsule,capsula de 150 mg de 150 mg sr,flexiron 150 mg capsula sr,capsula de epren sr,capsula de epriton sr,capsula eprimat sr
minopep 5% solution,solucion minopepep 5%,tinfal solution,minoxy 5% solution,rootz-m5 solution,mnx 5 solution,imxia 5 solution,solucion de tinfal,solucion de minoxi 5%,solucion rootz-m5,solucion mnx 5,solucion imxia 5
migon plus tablet,migon mas tableta,grenate plus 40mg/10mg tablet,mnil plus 40 mg/10 mg tablet,cenopran-f 40mg/10mg tablet,zeflurin plus 40mg/10mg tablet,mighop plus 40mg/10mg tablet,grenate mas 40 mg/10 mg de tableta,mnil mas 40 mg/10 mg tableta,cenopran-f 40mg/10mg tableta,zeflurina mas 40 mg/10 mg de tableta,mighop mas 40 mg/10 mg de tableta
mucinac 20% injection,inyeccion de mucinac 20%,nacfil 20% injection,,,,,inyeccion del 20% de nacfil,,,,
motilium m tablet,motilium m tableta,stopvom 10mg tablet,dompy 10mg tablet,domipen 10mg tablet,nausdan 10mg tablet,dompital 10mg tablet,stopvom 10mg tableta,tableta dompy 10mg,tableta domipen 10mg,nausdan 10mg tableta,tableta de 10 mg de dominio
minirin nasal spray,spray nasal de minirin,dpressin nasal spray,,,,,dpresin nasal spray,,,,
morr 2% solution,solucion morr 2%,pilomin 2 topical solution,minol 2% solution,andromin 2% solution,grewit 2% solution,topgain 2% solution,pilomin 2 solucion topica,solucion minol al 2%,solucion de andromina al 2%,solucion de 2% de cultivo,solucion topgain al 2%
metagard cr 60 tablet,metacard cr 60 tableta,isvedon 60mg tablet cr,redon-cr 60 tablet cr,trimacontin 60 tablet cr,,,isvedon 60mg tableta cr,redon-cr 60 tableta cr,trimacontin 60 tableta cr,,
m-sys ointment,m-sys puntion,mupisone ointment,mupisoft ointment,t-bact 2% ointment,b bact ointment,mupiways ointment,pomada de mupisona,unguento mupisoft,t-bact 2% deguenza,b bact ointment,unguento mupiways
megamentin 625 tablet,megamentin 625 tableta,clavorid 500mg/125mg tablet,penciclav 500 mg/125 mg tablet,themiclav 500mg/125mg tablet,moxikind-cv 625 tablet,moxiforce-cv 625 tablet,clavod 500mg/125mg tableta,penciclav 500 mg/125 mg de tableta,tableta de 500 mg/125mg,moxikind-cv 625 tableta,moxiforce-cv 625 tableta
misopt eye drop,caida de los ojos,dorsun t eye drop,ocudor t eye drop,glutim-d eye drop,gludroz eye drop,doze t eye drop,dorsun t,ocudor t,glutim-d eye drop,gludroz eye drop,doze t ojo gota
metapro -xl 25 tablet,metapro -xl 25 tableta,metozaar -xl 25 tablet,tolol -xr 25 tablet,tolol -xr 25 tablet,actiblok ipr 25 tablet,birtrex xr 25 tablet,metozaar -xl 25 tableta,tolol -xr 25 tableta,tolol -xr 25 tableta,tableta de actibblok ipr 25,birtrex xr 25 tableta
morease tablet,morhease tableta,mebirin tablet,mebrin 135mg tablet,libure 135mg tablet,gatoverine 135mg tablet,mebespa 135mg tablet,tableta de mebirina,tableta mebrin 135mg,libure 135mg tableta,tableta de 135 mg de gatovere,mebespa 135mg tableta
minado 500 tablet,minado 500 tableta,domstal np 500mg/10mg tablet,solvograin-d 500 tablet,comig 500 tablet,naprosyn d 500 tablet,dazmig d 500mg/10mg tablet,domstal np 500mg/10mg tableta,solvograin-d 500 tableta,comig 500 tableta,naprosyn d 500 tableta,dazmig d 500mg/10mg tableta
melnor cream,crema melnor,ultrabrite cream,elosone-ht cream,skinshine cream,twinkle cream,metasone plus cream,crema ultrabrita,crema elosone-ht,crema de skinshine,crema twinkle,metasone plus cream
mesahenz 1200 tablet pr,mesahenz 1200 tableta pr,mesadac 1200mg tablet pr,mesaeuro 1.2gm tablet pr,fibrimin-od tablet,mesaclear-od tablet pr,meztec 1.2g tablet pr,mesadac 1200mg tableta pr,mesaeuro de 1.2gm tableta pr,tableta fibrimina,mesaclear-od tableta pr,meztec 1.2g pablet pr
mdd xr 50 tablet,mdd xr 50 tableta,desdep od 50mg tablet er,unidex 50 tablet er,dvpex 50 tablet er,desveren 50 tablet er,venpower 50 tablet er,desdep od 50mg tableta er,unidex 50 tableta er,dvpex 50 tableta er,desveren 50 tableta er,venpower 50 tableta er
morease- sr capsule,capsula de morease- sr,normaxin-mb capsule sr,trumeb 200mg capsule sr,colovary 200mg capsule sr,cizaspa-sr capsule,meb sr capsule,capsula de normaxina-mb sr,trumeb 200mg capsula sr,capsula colovary 200 mg sr,capsula de cizaspa-sr,capsula de meb sr
metapro-xl 50 tablet,metapro-xl 50 tableta,metozaar xl 50 tablet,evimeto 50 tablet pr,metol xl 50 tablet,evimeto 50 tablet pr,holymet-xl 50 tablet,metozaar xl 50 tableta,evimeto 50 tableta pr,metol xl 50 tableta,evimeto 50 tableta pr,tableta holymet-xl 50
m-cin tablet,tableta m-cin,mahaflox 400 tablet,moxipunch 400mg tablet,moxigood tablet,moxam 400 tablet,macflox tablet,mahaflox 400 tableta,moxipunch 400mg tableta,tableta moxigood,tableta moxam 400,tableta macflox
maxgalin m 50 capsule,maxgalin m 50 capsula,megabid 50 capsule,,,,,capsula megabid 50,,,,
melanocyl ointment,pomada de melanocil,,,,,,,,,,
metzok 25 tablet pr,metzok 25 tableta pr,metozaar -xl 25 tablet,tolol -xr 25 tablet,tolol -xr 25 tablet,actiblok ipr 25 tablet,birtrex xr 25 tablet,metozaar -xl 25 tableta,tolol -xr 25 tableta,tolol -xr 25 tableta,tableta de actibblok ipr 25,birtrex xr 25 tableta
mactor asp 75 capsule,mactor asp 75 capsula,tonact-asp 75 capsule,zivast asp 10 capsule,atchol-asp capsule,lipicure-as 75 capsule,atorlip-asp 10 capsule,tonact-asp 75 capsula,zivast asp 10 capsula,capsula atchol-asp,lipicure-as 75 capsula,atorlip-asp 10 capsula
minoz 50 tablet,minoz 50 tableta,mclin 50mg tablet,minolin 50mg tablet,minop 50mg tablet,mynocyn 50mg tablet,abimino 50mg tablet,mclin 50mg tableta,minolin 50mg tableta,tableta minop 50mg,mynocyn 50mg tableta,abimino 50mg tableta
meronem 500mg injection,inyeccion de 500 mg de meronem,meroglan 500mg injection,carbapen m 500mg injection,germero 500mg injection,merotrol 500mg injection,merobax 500mg injection,inyeccion de 500 mg de meroglan,inyeccion de carbapen m 500mg,inyeccion de 500 mg de germero,inyeccion de 500 mg de merotrol,inyeccion de 500 mg de merobax
migon tablet,tableta migon,fluzine 10mg tablet,mnil 10mg tablet,grenil-f 10 tablet,fine 10mg tablet,luna 10mg tablet,tableta de 10mg de fluzina,mnil 10mg tableta,grenil-f 10 tableta,bien de 10 mg de tableta,tableta luna 10mg
miofree 4 capsule,miofree 4 capsula,bakwel 4mg capsule,zyflex 4mg capsule,thioquest 4mg fast acting capsule,thio-xl 4mg capsule,neorelax 4mg capsule,capsula de 4 mg de bakwel,capsula zyflex 4mg,tioquest 4 mg capsula de actuacion rapida,capsula de 4mg tio-xl,capsula de 4mg neorelax
minoz er 65 tablet,minoz er 65 tableta,minonex 65mg tablet er,minotas 65mg tablet er,minym er 65 tablet,minonil er 65 tablet,,minonex 65mg tableta er,minotas 65mg tableta er,minym er 65 tableta,minonil er 65 tableta,
moxclav ds 457mg tablet,moxclav ds 457mg tableta,b cillin cv forte 400mg/57mg tablet,moxclav bd ds 457mg tablet,duet 400mg/57mg tablet,polyclav-ds tablet,xylomox cv 400mg/57mg tablet,b cillin cv forte 400mg/57mg tableta,moxclav bd ds 457mg tableta,duet 400mg/57mg tableta,tableta polyclav-ds,xylomox cv 400mg/57mg tableta
misty eye drop,gota de ojos brumoso,wat-r eye drop,just tears eye drop,takfresh eye drop,relub eye drop,eco tears eye drop,gota de ojo wat-r,solo lagrimas gota de ojos,takfresh eye good,relub eye drop,lagrimas ecologicas caida del ojo
macpred 8 tablet,macpred 8 tableta,rednisol 8 tablet,prelid 8mg tablet,predace 8mg tablet,sterio 8 tablet,mp 8mg tablet,rednisol 8 tableta,tableta prelides 8mg,pelicula de 8 mg,tableta sterio 8,mp 8mg tableta
megahenz 40 tablet,megahenz 40 tableta,megetra 40mg tablet,megeetron 40mg tablet,cravihenz 40mg tablet,unistrol 40mg tablet,mestrolyst 40 tablet,tableta megetra 40mg,megeetron 40mg tableta,cravihenz 40mg tableta,tableta de 40 mg de unistrol,mestrolyst 40 tableta
mactor 10 tablet,mactor 10 tableta,atorast 10mg tablet,zivast 10 tablet,storvas 10 tablet,tonact 10 tablet,atorlip 10 tablet,tableta atorast 10mg,zivast 10 tableta,storvas 10 tableta,tonact 10 tableta,atorlip 10 tableta
moxiblu-d eye drop,moxiblu-d ojo gota,centaflox dx eye drop,dexcin-m eye drop,moxitak d eye drop,occucom eye drop,moxtif d eye drop,centaflox dx eye drop,dexcin-m gota de ojos,moxitak d eye drop,occucom ojo caida,moxtif d ojo gota
morr 3% solution,morr 3% solucion,,,,,,,,,,
met-innovfol tablet,tableta met-innovfol,ovalife met tablet,supersitol tablet,polisitol mf tablet,miova plus tablet,myofab-m tablet,ovalife met tableta,tableta supersitol,polisitol mf tableta,miova plus tableta,myofab-m tableta
mesacol cr 1gm granules,granulos de mesacol cr 1gm,,,,,,,,,,
metpure -xl 12.5 tablet,metpure -xl 12.5 tableta,,,,,,,,,,
megapen kid tablet,megapen kid tableta,combilox kid 125 mg/125 mg tablet,closolin kid 125mg/125mg tablet,empiclox kid 125mg/125mg tablet,broadiclox kid 125 mg tablet,cloxyla kid 125mg/125mg tablet,combilox kid 125 mg/125 mg de tableta,closolin kid 125mg/125mg tableta,empiclox kid 125mg/125mg tableta,broadiclox kid 125 mg tableta,cloxyla kid 125mg/125mg tableta
mucobenz mouth wash,lavado bucal de mucobenz,garbenz  mouth wash honey,tantum oral rinse,coolora mouth wash,maxtra gargle,oralixir mouth wash,garbenz bouth lave honey,enjuague oral tantum,lavado bucal de coolora,gargara maxtra,bucal de oralixir
monocef 250mg injection,inyeccion de 250 mg de monoceff,ceftril 250mg injection,troxone 250mg injection,nosocef 250mg injection,trixon 250mg injection,ramcef 250mg injection,inyeccion de 250 mg de ceftril,inyeccion de 250 mg de troxone,inyeccion de 250 mg de nosocef,inyeccion de 250 mg de trixon,inyeccion de 250 mg de ramcef
